signatureID,class,accuracy,precision,recall,sensitivity,specificity,TPR,TNR,FPR,FNR,Fscore
knnFit1,cotton.crop,0.992537313,0.960600375,0.971537002,0.971537002,0.995112869,0.971537002,0.995112869,0.004887131,0.028462998,0.966037736
knnFit1,damp.grey.soil,0.928067993,0.63034188,0.628997868,0.628997868,0.960275545,0.628997868,0.960275545,0.039724455,0.371002132,0.629669157
knnFit1,grey.soil,0.957711443,0.881086142,0.924361493,0.924361493,0.966631634,0.924361493,0.966631634,0.033368366,0.075638507,0.902205177
knnFit1,red.soil,0.986111111,0.960034014,0.98259356,0.98259356,0.987210884,0.98259356,0.987210884,0.012789116,0.01740644,0.971182796
knnFit1,vegetation.stubble,0.967247098,0.895744681,0.794339623,0.794339623,0.988588728,0.794339623,0.988588728,0.011411272,0.205660377,0.842
knnFit1,very.damp.grey.soil,0.932006633,0.862037872,0.845269673,0.845269673,0.958570268,0.845269673,0.958570268,0.041429732,0.154730327,0.853571429
knnFit2,cotton.crop,0.990671642,0.949626866,0.965844402,0.965844402,0.993716546,0.965844402,0.993716546,0.006283454,0.034155598,0.95766698
knnFit2,damp.grey.soil,0.914179104,0.571428571,0.469083156,0.469083156,0.962112514,0.469083156,0.962112514,0.037887486,0.530916844,0.515222482
knnFit2,grey.soil,0.951077944,0.842982456,0.944007859,0.944007859,0.952968996,0.944007859,0.952968996,0.047031004,0.055992141,0.890639481
knnFit2,red.soil,0.983830846,0.955744681,0.977371628,0.977371628,0.98585034,0.977371628,0.98585034,0.01414966,0.022628372,0.966437177
knnFit2,vegetation.stubble,0.968490879,0.92,0.781132075,0.781132075,0.991616209,0.781132075,0.991616209,0.008383791,0.218867925,0.844897959
knnFit2,very.damp.grey.soil,0.923092869,0.833919156,0.83908046,0.83908046,0.948822096,0.83908046,0.948822096,0.051177904,0.16091954,0.836491847
ldaFit1,cotton.crop,0.984660033,0.993464052,0.865275142,0.865275142,0.999301838,0.865275142,0.999301838,0.000698162,0.134724858,0.92494929
ldaFit1,damp.grey.soil,0.894485904,0.443181818,0.332622601,0.332622601,0.954994259,0.332622601,0.954994259,0.045005741,0.667377399,0.380024361
ldaFit1,grey.soil,0.944651741,0.827375763,0.932220039,0.932220039,0.947976879,0.932220039,0.947976879,0.052023121,0.067779961,0.876674365
ldaFit1,red.soil,0.985281924,0.974471831,0.963446475,0.963446475,0.992108844,0.963446475,0.992108844,0.007891156,0.036553525,0.96892779
ldaFit1,vegetation.stubble,0.951699834,0.835214447,0.698113208,0.698113208,0.982999534,0.698113208,0.982999534,0.017000466,0.301886792,0.76053443
ldaFit1,very.damp.grey.soil,0.898839138,0.74980575,0.853227233,0.853227233,0.912808015,0.853227233,0.912808015,0.087191985,0.146772767,0.798180314
ldaFit2,cotton.crop,0.985074627,0.991360691,0.870967742,0.870967742,0.999069118,0.870967742,0.999069118,0.000930882,0.129032258,0.927272727
ldaFit2,damp.grey.soil,0.887852405,0.386792453,0.262260128,0.262260128,0.955223881,0.262260128,0.955223881,0.044776119,0.737739872,0.312579416
ldaFit2,grey.soil,0.940713101,0.814974182,0.930255403,0.930255403,0.943510247,0.930255403,0.943510247,0.056489753,0.069744597,0.868807339
ldaFit2,red.soil,0.982587065,0.975871314,0.950391645,0.950391645,0.992653061,0.950391645,0.992653061,0.007346939,0.049608355,0.962962963
ldaFit2,vegetation.stubble,0.944444444,0.806074766,0.650943396,0.650943396,0.980670703,0.650943396,0.980670703,0.019329297,0.349056604,0.720250522
ldaFit2,very.damp.grey.soil,0.887852405,0.72113943,0.850574713,0.850574713,0.899268887,0.850574713,0.899268887,0.100731113,0.149425287,0.780527383
svmFit1,cotton.crop,0.991293532,0.936936937,0.986717268,0.986717268,0.991854782,0.986717268,0.991854782,0.008145218,0.013282732,0.961182994
svmFit1,damp.grey.soil,0.926616915,0.647058824,0.539445629,0.539445629,0.968312285,0.539445629,0.968312285,0.031687715,0.460554371,0.588372093
svmFit1,grey.soil,0.958747927,0.863354037,0.955795678,0.955795678,0.959537572,0.955795678,0.959537572,0.040462428,0.044204322,0.907226107
svmFit1,red.soil,0.98486733,0.955932203,0.981723238,0.981723238,0.98585034,0.981723238,0.98585034,0.01414966,0.018276762,0.968656076
svmFit1,vegetation.stubble,0.966832504,0.902173913,0.783018868,0.783018868,0.989520261,0.783018868,0.989520261,0.010479739,0.216981132,0.838383838
svmFit1,very.damp.grey.soil,0.930348259,0.857785779,0.842617153,0.842617153,0.957216355,0.842617153,0.957216355,0.042783645,0.157382847,0.850133809
svmFit2,cotton.crop,0.991500829,0.95,0.973434535,0.973434535,0.993716546,0.973434535,0.993716546,0.006283454,0.026565465,0.961574508
svmFit2,damp.grey.soil,0.915837479,0.583113456,0.471215352,0.471215352,0.963719862,0.471215352,0.963719862,0.036280138,0.528784648,0.521226415
svmFit2,grey.soil,0.952943615,0.847234416,0.947937132,0.947937132,0.954282712,0.947937132,0.954282712,0.045717288,0.052062868,0.894761242
svmFit2,red.soil,0.983830846,0.959656652,0.973020017,0.973020017,0.987210884,0.973020017,0.987210884,0.012789116,0.026979983,0.966292135
svmFit2,vegetation.stubble,0.96973466,0.912017167,0.801886792,0.801886792,0.990451793,0.801886792,0.990451793,0.009548207,0.198113208,0.853413655
svmFit2,very.damp.grey.soil,0.921641791,0.831718062,0.834659593,0.834659593,0.948280531,0.834659593,0.948280531,0.051719469,0.165340407,0.833186231
